R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
3858	3738	81	681	1	E28
3859	3739	4	682	1	F09
3860	3740	70	682	1	E41
3861	3741	15	683	1	E03
3862	3742	30	683	1	E27
3863	3743	58	683	1	B18
3864	3744	63	683	1	E47
3865	3745	67	683	1	F04
3866	3746	45	684	1	F01
3867	3747	55	684	1	F06
3868	3748	65	684	1	E24
3869	3749	93	684	1	E48
3870	3750	7	685	1	E55
3871	3751	35	685	1	F05
3872	3752	6	686	1	F09
3873	3753	23	686	1	E38
3874	3754	27	686	1	E12
3875	3755	37	686	1	E10
3876	3756	56	686	1	B07
3877	3757	79	686	1	E56
3878	3758	36	687	1	F05
3879	3759	45	687	1	F05
3880	3760	58	687	1	B23
3881	3761	67	687	1	E10
3882	3762	75	687	1	B27
3883	3763	39	688	1	F12
3884	3764	87	688	1	E54
3885	3765	93	688	1	B06
3886	3766	27	689	1	F11
3887	3767	32	689	1	B08
3888	3768	38	689	1	E34
3889	3769	64	689	1	E14
3890	3770	78	689	1	B06
3891	3771	84	689	1	F02
3892	3772	88	689	1	B29
3893	3773	12	690	1	F02
3894	3774	26	690	1	E42
3895	3775	35	690	1	F04
3896	3776	36	690	1	F04
3897	3777	59	690	1	F11
3898	3778	66	690	1	B19
3899	3779	81	690	1	F12
3900	3780	3	691	1	F08
3901	3781	9	691	1	E02
3902	3782	45	691	1	F09
3903	3783	73	692	1	F03
3904	3783	73	692	1	F04
3905	3784	94	692	1	B18
3906	3785	5	693	1	E32
3907	3786	24	693	1	F04
3908	3787	58	693	1	F09
3909	3788	91	693	1	B10
3910	3789	3	694	1	E34
3911	3790	20	694	1	F07
3912	3791	22	694	1	F02
3913	3792	29	694	1	B14
3914	3793	82	694	1	F08
3915	3794	5	695	1	E06
3916	3795	36	695	1	F09
3917	3796	40	695	1	E52
3918	3797	49	695	1	B12
3919	3798	50	695	1	F10
3920	3799	91	695	1	E02
3921	3800	4	696	1	E02
3922	3801	24	696	1	B17
3923	3802	25	696	1	B29
3924	3803	29	696	1	B06
3925	3804	1	697	1	B25
3926	3804	1	697	2	B26
3927	3805	6	697	1	E16
3928	3806	7	697	1	F08
3929	3807	11	697	1	E18
3930	3808	14	697	1	B13
3931	3809	30	697	1	B17
3932	3810	39	697	1	B09
3933	3811	58	697	1	F05
3934	3812	75	697	1	E35
3935	3813	8	698	1	E07
3936	3814	31	698	1	F11
3937	3815	48	698	1	E23
3938	3816	20	699	1	F01
3939	3817	37	699	1	B19
3940	3818	55	699	1	E52
3941	3819	61	699	1	F02
3942	3820	64	699	1	F02
3943	3821	68	699	1	F05
3944	3822	73	699	1	E39
3945	3823	85	699	1	B26
3946	3824	90	699	1	B04
3947	3825	3	700	1	E49
3948	3826	30	700	1	E28
3949	3827	57	700	1	F09
3950	3828	68	700	1	B03
3951	3828	68	700	2	B04
3952	3829	47	701	1	B23
3953	3830	48	701	1	E17
3954	3831	95	701	1	E19
3955	3832	16	702	1	B13
3956	3833	21	702	1	B24
3957	3834	32	702	1	F09
3958	3834	32	702	1	F10
3959	3835	82	702	1	E02
3960	3836	88	702	1	F12
3961	3837	89	702	1	B18
3962	3838	2	703	1	F05
3963	3839	34	703	1	E08
3964	3840	39	703	1	F11
3965	3841	43	703	1	B09
3966	3842	44	703	1	B24
3967	3843	87	703	1	B26
3968	3844	9	704	1	F10
3969	3845	16	704	1	F03
3970	3846	29	704	1	E06
3971	3847	32	704	1	E30
3972	3848	34	704	1	F03
3973	3849	86	704	1	E46
3974	3850	94	704	1	F07
3975	3851	31	705	1	B11
3976	3852	34	705	1	B13
3977	3853	36	705	1	B16
3978	3854	41	705	1	F12
3979	3855	86	705	1	B28
3980	3856	5	706	1	E40
3981	3857	28	706	1	F05
3982	3858	34	706	1	E34
3983	3859	14	707	1	F02
3984	3860	34	707	1	E56
3985	3861	44	707	1	F09
3986	3862	47	707	1	F12
3987	3863	64	707	1	F11
3988	3864	8	708	1	F11
3989	3865	15	708	1	B12
3990	3866	17	708	1	B15
3991	3867	51	708	1	E26
3992	3868	54	709	1	F04
3993	3869	58	709	1	B05
3994	3870	65	709	1	F02
3995	3871	72	709	1	E13
3996	3872	74	709	1	E55
3997	3873	80	709	1	F04
3998	3874	81	709	1	E52
3999	3875	91	709	1	B26
4000	3876	5	710	1	B10
4001	3877	15	710	1	F03
4002	3878	28	710	1	F03
4003	3879	43	710	1	F10
4004	3880	58	710	1	E23
4005	3881	67	710	1	E19
4006	3882	82	710	1	E48
4007	3882	82	710	3	E49
4008	3883	91	710	1	E03
4009	3884	12	711	1	E41
4010	3885	18	711	1	F12
4011	3885	18	711	3	F13
4012	3886	28	711	1	E03
4013	3887	55	711	1	F10
4014	3888	81	711	1	B06
4015	3889	82	711	1	F09
4016	3890	24	712	1	E01
4017	3891	40	712	1	F12
4018	3892	91	712	1	B05
4019	3893	1	713	1	B22
4020	3894	31	713	1	F05
4021	3895	45	713	1	B08
4022	3896	55	713	1	F07
4023	3897	74	713	1	B25
4024	3897	74	713	3	B26
4025	3898	2	714	1	F04
4026	3899	8	714	1	F03
4027	3900	26	714	1	B02
4028	3901	30	714	1	E51
4029	3902	32	714	1	F12
4030	3903	56	714	1	B15
4031	3904	58	714	1	B27
4032	3905	60	714	1	F09
4033	3906	74	714	1	E09
4034	3907	26	715	1	E30
4035	3908	36	715	1	F05
4036	3909	7	716	1	B27
4037	3910	32	716	1	B21
4038	3911	37	716	1	B04
4039	3912	53	716	1	F11
4040	3913	1	717	1	F09
4041	3914	3	717	1	E33
4042	3915	19	717	1	B27
4043	3916	52	717	1	E44
4044	3917	69	717	1	B25
4045	3918	73	717	1	F07
4046	3919	3	718	1	B06
4047	3920	62	718	1	E02
4048	3921	66	718	1	B23
4049	3922	78	718	1	B25
4050	3923	14	719	1	B23
4051	3924	17	719	1	B25
4052	3925	28	719	1	F09
4053	3926	85	719	1	F05
4054	3927	88	719	1	F05
4055	3928	5	720	1	F05
4056	3929	9	720	1	E21
4057	3930	29	720	1	B21
4058	3931	44	720	1	B20
4059	3932	48	720	1	E55
4060	3933	49	720	1	F05
4061	3934	50	720	1	E08
4062	3935	72	720	1	B30
4063	3935	72	720	3	B31
4064	3936	73	720	1	B13
4065	3937	74	720	1	B15
4066	3937	74	720	3	B16
4067	3938	80	720	1	E24
4068	3939	89	720	1	F07
4069	3940	95	720	1	B25
4070	3941	19	721	1	E53
4071	3942	33	721	1	B10
4072	3943	37	721	1	E08
4073	3944	55	721	1	F05
4074	3945	88	721	1	B18
4075	3946	25	722	1	B22
4076	3947	27	722	1	F07
4077	3948	66	722	1	F07
4078	3949	72	722	1	F02
4079	3950	37	723	1	F12
4080	3950	37	723	2	F13
4081	3951	56	723	1	E21
4082	3952	95	723	1	F04
4083	3953	3	724	1	F10
4084	3954	6	724	1	E04
4085	3955	17	724	1	E35
4086	3956	39	724	1	B22
4087	3957	43	724	1	F07
4088	3958	75	724	1	E30
4089	3959	17	725	1	B12
4090	3960	30	725	1	E27
4091	3961	72	725	1	F12
4092	3962	92	725	1	F05
4093	3963	43	726	1	E18
4094	3964	58	726	1	F02
4095	3965	75	726	1	B14
4096	3966	78	726	1	B11
4097	3967	81	726	1	E45
4098	3968	93	726	1	E50
4099	3969	42	727	1	B17
4100	3970	72	727	1	F10
4101	3971	16	728	1	B22
4102	3972	25	728	1	F01
4103	3973	31	728	1	F10
4104	3974	36	728	1	F06
4105	3975	43	728	1	E49
4106	3976	53	728	1	F11
4107	3977	62	728	1	B17
4108	3978	87	728	1	B11
4109	3979	16	729	1	B22
4110	3980	89	729	1	B29
4111	3981	2	730	1	E29
4112	3982	29	730	1	F03
4113	3983	40	730	1	B21
4114	3984	45	730	1	E44
4115	3985	88	730	1	E28
4116	3986	6	731	1	B21
4117	3987	21	731	1	B25
4118	3988	27	731	1	B18
4119	3989	29	731	1	F12
4120	3990	39	731	1	B15
4121	3991	80	731	1	E32
4122	3992	83	731	1	B04
4123	3993	23	732	1	E53
4124	3994	50	732	1	E42
4125	3995	90	732	1	B10
4126	3996	3	733	1	B19
4127	3997	12	733	1	E13
4128	3998	23	733	1	F05
4129	3999	24	733	1	F10
4130	4000	42	733	1	B13
4131	4001	68	733	1	B06
4132	4002	79	733	1	B25
4133	4003	84	733	1	B15
4134	4004	85	733	1	B26
4135	4005	90	733	1	F05
4136	4006	57	734	1	B05
4137	4007	60	734	1	B01
4138	4008	62	734	1	B03
4139	4009	83	734	1	B07
4140	4010	86	734	1	E56
4141	4011	88	734	1	B14
4142	4012	5	735	1	E54
4143	4013	44	735	1	B27
4144	4014	85	735	1	E31
4145	4015	4	736	1	B17
4146	4016	10	736	1	B25
4147	4016	10	736	1	B26
4148	4017	26	736	1	B07
4149	4018	58	736	1	E44
4150	4019	67	736	1	E40
4151	4020	91	736	1	E02
4152	4021	14	737	1	F02
4153	4022	40	737	1	B23
4154	4023	44	737	1	E53
4155	4024	78	737	1	F05
4156	4025	86	737	1	B12
4157	4026	88	737	1	E29
4158	4027	69	738	1	E08
4159	4028	81	738	1	B27
4160	4029	82	738	1	F12
4161	4030	93	738	1	F08
4162	4031	36	739	1	B07
4163	4032	46	739	1	E08
4164	4033	48	739	1	B26
4165	4034	74	739	1	B20
4166	4035	1	740	1	E09
4167	4036	19	740	1	E06
4168	4037	21	740	1	F07
4169	4038	35	740	1	E15
4170	4039	49	740	1	E44
4171	4040	86	740	1	F01
4172	4041	12	741	1	B07
4173	4042	36	741	1	B25
4174	4043	50	741	1	F04
4175	4044	55	741	1	F08
4176	4045	63	741	1	B14
4177	4046	6	742	1	E43
4178	4047	14	742	1	B06
4179	4048	39	742	1	B07
4180	4049	40	742	1	E17
4181	4050	45	742	1	E02
4182	4051	77	742	1	E04
4183	4052	81	742	1	B01
4184	4053	26	743	1	F05
4185	4054	88	743	1	E19
4186	4055	25	744	1	F11
4187	4056	39	744	1	E48
4188	4057	63	744	1	E32
4189	4058	70	744	1	E36
4190	4059	86	744	1	E02
4191	4060	94	744	1	B20
4192	4061	4	745	1	B21
4193	4062	66	745	1	F09
4194	4063	79	745	1	E36
4195	4064	92	745	1	F11
4196	4065	3	746	1	E31
4197	4066	4	746	1	E32
4198	4067	9	746	1	B28
4199	4068	32	746	1	E46
4200	4069	37	746	1	B11
4201	4070	39	746	1	E43
4202	4071	61	746	1	E26
4203	4072	64	746	1	F01
4204	4073	79	746	1	E56
4205	4074	89	746	1	B03
4206	4075	91	746	1	F05
4207	4076	8	747	1	E45
4208	4077	20	747	1	E42
4209	4078	27	747	1	E35
4210	4079	28	747	1	E45
4211	4079	28	747	1	E46
4212	4080	32	747	1	F01
4213	4081	47	747	1	B29
4214	4082	64	747	1	B24
4215	4083	2	748	1	B09
4216	4084	4	748	1	E51
4217	4085	21	748	1	B15
4218	4086	31	748	1	E33
4219	4087	39	748	1	F04
4220	4088	60	748	1	E02
4221	4089	74	748	1	F12
4222	4089	74	748	3	F13
4223	4090	81	748	1	B29
4224	4091	92	748	1	B22
4225	4092	5	749	1	F05
4226	4093	22	749	1	B19
4227	4094	35	749	1	B30
4228	4095	36	749	1	E32
4229	4096	41	749	1	B06
4230	4097	88	749	1	E05
4231	4098	43	750	1	F11
4232	4099	45	750	1	F03
4233	4100	59	750	1	B06
4234	4101	67	750	1	B14
4235	4102	68	750	1	B15
4236	4103	83	750	1	E43
4237	4104	90	750	2	E08
4238	4105	11	751	1	F10
4239	4106	32	751	1	B19
4240	4107	34	751	1	F06
4241	4108	47	751	1	B05
4242	4109	87	751	1	B05
4243	4110	90	751	1	F02
4244	4111	66	752	1	F03
4245	4112	79	752	1	F10
4246	4113	4	753	1	B30
4247	4114	22	753	1	B08
4248	4115	24	753	1	E44
4249	4116	30	753	1	F01
4250	4117	64	753	1	F07
4251	4118	75	753	1	B06
4252	4119	15	754	1	E02
4253	4120	31	754	1	F11
4254	4121	38	754	1	B03
4255	4122	50	754	1	E08
4256	4123	54	754	1	F06
4257	4124	57	754	1	B02
4258	4125	64	754	1	F02
4259	4126	70	754	1	E47
4260	4127	90	754	1	E08
4261	4128	93	754	1	E23
4262	4129	25	755	1	E10
4263	4130	26	755	1	F09
4264	4131	28	755	1	E03
4265	4132	32	755	1	E51
4266	4133	45	755	1	F07
4267	4134	50	755	1	E08
4268	4135	51	755	1	F01
4269	4136	83	755	1	F12
4270	4137	85	755	1	E44
4271	4138	91	755	1	E31
4272	4139	3	756	1	E53
4273	4140	13	756	1	F01
4274	4141	58	756	1	B10
4275	4142	61	756	1	F01
4276	4143	78	756	1	B27
4277	4144	81	756	1	E44
4278	4145	26	757	1	E31
4279	4146	71	757	1	B09
4280	4147	22	758	1	F06
4281	4148	55	758	1	B01
4282	4149	1	759	1	F06
4283	4150	13	759	1	E40
4284	4151	19	759	1	B27
4285	4152	28	759	1	E56
4286	4153	33	759	1	B26
4287	4154	47	759	1	E07
4288	4155	54	759	1	B25
4289	4156	64	759	1	E21
4290	4157	75	759	1	B19
4291	4158	77	759	1	B02
4292	4159	81	759	1	E21
4293	4160	19	760	1	E34
4294	4161	29	760	1	B16
4295	4162	44	760	1	B06
4296	4163	54	760	1	E44
4297	4164	57	760	1	B01
4298	4165	7	761	1	B27
4299	4166	14	761	1	F02
4300	4167	16	761	1	F11
4301	4168	30	761	1	B07
4302	4169	37	761	1	E20
4303	4170	67	761	1	F11
4304	4171	95	761	1	F06
4305	4172	29	762	1	F01
4306	4173	66	762	1	E21
4307	4174	75	762	1	F05
4308	4175	78	762	1	F12
4309	4176	23	763	1	E24
4310	4177	25	763	1	B23
4311	4178	38	763	1	B12
4312	4179	39	763	1	B23
4313	4180	40	763	1	E22
4314	4181	64	763	1	B26
4315	4181	64	763	1	B27
4316	4182	78	763	1	B02
4317	4183	10	764	1	E22
4318	4184	26	764	1	E18
4319	4185	60	764	1	B26
4320	4186	64	764	1	E14
4321	4187	67	764	1	E43
4322	4188	22	765	1	E49
4323	4189	27	765	1	B18
4324	4190	34	765	1	F02
4325	4191	39	765	1	E08
4326	4192	52	765	1	B19
4327	4193	62	765	1	B19
4328	4194	71	765	1	B11
4329	4195	16	766	1	F07
4330	4196	54	766	1	E49
4331	4197	59	766	1	E02
4332	4198	71	766	1	E16
4333	4199	4	767	1	F08
4334	4200	10	767	1	F09
4335	4201	28	767	1	B23
4336	4202	37	767	1	B23
4337	4203	51	767	1	E17
4338	4204	71	767	1	B18
4339	4205	3	768	1	F08
4340	4206	14	768	1	E44
4341	4207	18	768	1	F06
4342	4208	28	768	1	E34
4343	4209	33	768	1	E38
4344	4210	68	768	1	E48
4345	4210	68	768	3	E49
4346	4211	69	768	1	F06
4347	4212	10	769	1	F09
4348	4213	35	769	1	B30
4349	4214	67	769	1	E21
4350	4215	12	770	1	E30
4351	4216	15	770	1	B29
4352	4217	17	770	1	B20
4353	4218	20	770	1	E39
4354	4219	26	770	1	B22
4355	4220	28	770	1	F10
4356	4221	31	770	1	E29
4357	4222	34	770	1	E20
4358	4223	39	770	1	B24
4359	4224	48	770	1	F11
4360	4225	89	770	1	B27
4361	4226	12	771	1	B25
4362	4227	17	771	1	E33
4363	4228	18	771	1	B08
4364	4229	32	771	1	E18
4365	4230	43	771	1	F09
4366	4231	75	771	1	E05
4367	4232	81	771	1	B11
4368	4233	89	771	1	F09
4369	4234	3	772	1	E41
4370	4235	32	772	1	E36
4371	4236	34	772	1	F08
4372	4237	48	772	1	B04
4373	4238	69	772	1	B29
4374	4239	15	773	1	B26
4375	4240	20	773	1	B22
4376	4241	22	773	1	E44
4377	4242	42	773	1	E41
4378	4243	66	773	1	B22
4379	4244	81	773	1	B26
4380	4245	20	774	1	F04
4381	4246	26	774	1	E30
4382	4247	37	774	1	F07
4383	4248	42	774	1	E30
4384	4249	43	774	1	E45
4385	4250	52	774	1	E33
4386	4251	53	774	1	E26
4387	4252	87	774	1	F05
4388	4253	89	774	1	F03
4389	4254	24	775	1	B12
4390	4254	24	775	3	B13
4391	4255	49	775	1	F11
4392	4256	52	775	1	E48
4393	4257	58	775	1	E39
4394	4258	75	775	1	B13
4395	4259	76	775	1	B12
4396	4260	80	775	1	B03
4397	4261	24	776	1	F02
4398	4262	31	776	1	E08
4399	4263	13	777	1	B03
4400	4264	31	777	1	B23
4401	4265	45	777	1	E11
4402	4266	58	777	1	E17
4403	4267	60	777	1	B16
4404	4268	76	777	1	E13
4405	4269	80	777	1	B26
4406	4270	6	778	1	F06
4407	4271	12	778	1	B07
4408	4272	49	778	1	B20
4409	4272	49	778	2	B21
4410	4273	87	778	1	E11
4411	4274	93	778	1	F05
4412	4275	13	779	1	F04
4413	4276	21	779	1	B16
4414	4277	30	779	1	B18
4415	4278	61	779	1	B06
4416	4279	77	779	1	B11
4417	4280	82	779	1	F08
4418	4281	91	779	1	F04
4419	4282	30	780	1	E33
4420	4283	35	780	1	F03
4421	4284	45	780	1	B23
4422	4285	59	780	1	B12
4423	4286	62	780	1	F12
4424	4287	70	780	1	E51
4425	4288	31	781	1	F07
4426	4289	37	781	1	E32
4427	4290	83	781	1	B30
4428	4291	93	781	1	F09
4429	4292	22	782	1	E06
4430	4293	56	782	1	F01
4431	4294	58	782	1	B23
4432	4295	81	782	1	F03
4433	4296	12	783	1	B27
4434	4297	20	783	1	E24
4435	4298	29	783	1	B07
4436	4299	39	783	1	F01
4437	4300	59	783	1	F02
4438	4301	93	783	1	B11
4439	4302	8	784	1	B13
4440	4303	69	784	1	F02
4441	4304	2	785	1	F04
4442	4304	2	785	1	F05
4443	4305	13	785	1	B11
4444	4306	35	785	1	B19
4445	4307	82	785	1	F11
4446	4308	86	785	1	E30
4447	4309	93	785	1	B17
4448	4310	2	786	1	E42
4449	4311	19	786	1	F03
4450	4312	23	786	1	F05
4451	4313	25	786	1	B28
4452	4314	31	786	1	B11
4453	4315	34	786	1	B19
4454	4316	72	786	1	E46
4455	4317	76	786	1	F08
4456	4318	82	786	1	B29
4457	4319	4	787	1	B03
4458	4320	29	787	1	B04
4459	4321	11	788	1	E56
4460	4322	47	788	1	E31
4461	4323	85	788	1	E51
4462	4324	39	789	1	F01
4463	4325	63	789	1	F03
4464	4326	85	789	1	F06
4465	4327	89	789	1	B19
4466	4328	3	790	1	E48
4467	4329	34	790	1	B24
4468	4330	37	790	1	B13
4469	4331	51	790	1	B07
4470	4332	52	790	1	E26
4471	4333	53	790	1	E14
4472	4334	61	790	1	B26
4473	4335	65	790	1	F11
4474	4336	17	791	1	E51
4475	4337	23	791	1	B26
4476	4338	34	791	1	B16
4477	4339	44	791	1	F07
4478	4340	78	791	1	E05
4479	4341	88	791	1	F08
4480	4342	92	791	1	F12
4481	4343	8	792	1	F07
4482	4344	32	792	1	F08
4483	4345	45	792	1	B23
4484	4346	71	792	1	B24
4485	4347	79	792	1	E48
4486	4348	83	792	1	B04
4487	4349	86	792	1	B13
4488	4350	13	793	1	E26
4489	4351	19	793	1	B30
4490	4352	66	793	1	E23
4491	4353	71	793	1	E08
4492	4354	74	793	1	F01
4493	4355	78	793	1	B10
4494	4356	89	793	1	F09
4495	4357	95	793	1	E05
4496	4358	24	794	1	E01
4497	4359	34	794	1	E50
4498	4360	36	794	1	F11
4499	4361	43	794	1	F03
4500	4362	46	794	1	B04
4501	4363	84	794	1	E15
4502	4364	88	794	1	B06
4503	4365	21	795	1	B08
4504	4366	23	795	1	E22
4505	4367	46	795	1	E37
4506	4368	6	796	1	E29
4507	4369	27	796	1	B03
4508	4370	31	796	1	B02
4509	4371	69	796	1	E44
4510	4372	77	796	1	E12
4511	4373	80	796	1	F01
4512	4374	91	796	1	F11
4513	4375	95	796	1	E05
4514	4375	95	796	1	E06
4515	4376	6	797	1	B02
4516	4376	6	797	3	B03
4517	4377	12	797	1	B10
4518	4378	36	797	1	E13
4519	4379	53	797	1	E32
4520	4380	62	797	1	E24
4521	4381	63	797	1	B10
4522	4382	64	797	1	E36
4523	4383	76	797	1	F01
4524	4384	92	797	1	E08
4525	4385	10	798	1	E09
4526	4386	47	798	1	B26
4527	4387	91	798	1	F09
4528	4388	2	799	1	E27
4529	4389	3	799	1	B01
4530	4390	8	799	1	E08
4531	4391	18	799	1	B06
4532	4392	28	799	1	E24
4533	4393	48	799	1	F11
4534	4393	48	799	3	F12
4535	4394	81	799	1	F02
4536	4395	6	800	1	F07
4537	4396	10	800	1	F11
4538	4397	14	800	1	E25
4539	4398	38	800	1	B03
4540	4399	70	800	1	F07
4541	4400	4	801	1	F07
4542	4401	9	801	1	B08
4543	4402	45	801	1	F10
4544	4403	49	801	1	F03
4545	4404	95	801	1	E51
4546	4405	46	802	1	F06
4547	4406	57	802	1	E27
4548	4407	76	802	1	F09
4549	4408	91	802	1	F07
4550	4409	19	803	1	B06
4551	4410	21	803	1	E41
4552	4411	30	803	1	F01
4553	4412	33	803	1	B20
4554	4413	44	803	1	B12
4555	4414	55	803	1	E05
4556	4415	61	803	1	F09
4557	4416	77	803	1	E30
4558	4417	81	803	1	B18
4559	4418	14	804	1	B11
4560	4419	19	804	1	F07
4561	4420	25	804	1	B01
4562	4421	26	804	1	B20
4563	4422	35	804	1	B09
4564	4423	44	804	1	E29
4565	4423	44	804	2	E30
4566	4424	68	804	1	B25
4567	4425	75	804	1	E20
4568	4426	92	804	1	E27
4569	4427	5	805	1	B02
4570	4428	6	805	1	F04
4571	4429	21	805	1	B13
4572	4430	63	805	1	B03
4573	4431	66	805	1	B12
4574	4432	71	805	1	B05
4575	4433	73	805	1	B09
4576	4434	84	805	1	E15
4577	4435	12	806	1	F04
4578	4436	30	806	1	F03
4579	4437	33	806	1	F01
4580	4438	41	806	1	F11
4581	4439	44	806	1	E50
4582	4440	46	806	1	E23
4583	4441	47	806	1	F01
4584	4442	76	806	1	F09
4585	4443	88	806	1	F06
4586	4444	69	807	1	B23
4587	4445	73	807	1	F07
4588	4446	11	808	1	F01
4589	4447	18	808	1	B20
4590	4448	38	808	1	F02
4591	4449	43	808	1	E12
4592	4450	63	808	1	F04
4593	4451	69	808	1	E26
4594	4452	82	808	1	F02
4595	4453	94	808	1	E53
4596	4454	11	809	1	F05
4597	4455	40	809	1	F04
4598	4456	46	809	1	B09
4599	4457	5	810	1	B13
4600	4458	17	810	1	E27
4601	4459	24	810	1	B13
4602	4460	37	810	1	F09
4603	4461	40	810	1	E56
4604	4462	18	811	1	F08
4605	4463	30	811	1	B30
4606	4464	31	811	1	F01
4607	4465	38	811	1	E38
4608	4466	43	811	1	E19
4609	4467	70	811	1	B22
4610	4468	91	811	1	B15
4611	4469	9	812	1	F10
4612	4470	26	812	1	B13
4613	4471	43	812	1	B06
4614	4472	48	812	1	F01
4615	4473	49	812	1	E33
4616	4474	75	812	1	B23
4617	4475	2	813	1	B03
4618	4476	26	813	1	F11
4619	4477	34	813	1	E07
4620	4478	42	813	1	E17
4621	4479	1	814	1	E48
4622	4480	25	814	1	F06
4623	4481	30	814	1	F07
4624	4482	46	814	1	E16
4625	4483	49	814	1	E05
4626	4484	78	814	1	E49
4627	4485	87	814	1	E12
4628	4486	2	815	1	B23
4629	4487	3	815	1	F03
4630	4488	16	815	1	F11
4631	4489	20	815	1	E44
4632	4490	63	815	1	F06
4633	4491	69	815	1	B23
4634	4492	75	815	1	B19
4635	4493	95	815	1	B27
4636	4494	3	816	1	F10
4637	4495	27	816	1	E46
4638	4496	28	816	1	F05
4639	4497	42	816	1	E33
4640	4498	48	816	1	B02
4641	4499	56	816	1	F04
4642	4500	65	816	1	B04
4643	4501	67	816	1	F02
4644	4502	74	816	1	F05
4645	4503	81	816	1	B30
4646	4504	91	816	1	B19
4647	4505	4	817	1	F05
4648	4506	16	817	1	E55
4649	4507	24	817	1	B08
4650	4508	41	817	1	F03
4651	4509	63	817	1	F07
4652	4510	13	818	1	E21
4653	4511	25	818	1	F05
4654	4512	62	818	1	B27
4655	4513	69	818	1	B28
4656	4514	29	819	1	B14
4657	4515	48	819	1	B22
4658	4516	54	819	1	B11
4659	4517	88	819	1	B15
4660	4518	6	820	1	F04
4661	4519	59	820	1	E37
4662	4520	84	820	1	F07
4663	4521	2	821	1	F10
4664	4522	17	821	1	E40
4665	4523	23	821	1	B23
4666	4524	30	821	1	B29
4667	4525	37	821	1	E22
4668	4526	38	821	1	F03
4669	4527	41	821	1	B29
4670	4528	54	821	1	E14
4671	4529	59	821	1	B12
4672	4530	9	822	1	E40
4673	4531	37	822	1	B14
4674	4532	59	822	1	F12
4675	4533	68	822	1	B08
4676	4534	93	822	1	F09
4677	4535	15	823	1	B14
4678	4536	17	823	1	B24
4679	4537	23	823	1	B09
4680	4538	62	823	1	F09
4681	4539	66	823	1	E03
4682	4540	17	824	1	B02
4683	4541	19	824	1	E20
4684	4542	21	824	1	B19
4685	4543	33	824	1	F05
4686	4544	48	824	1	E07
4687	4545	73	824	1	E10
4688	4546	84	824	1	B22
4689	4547	41	825	1	E40
4690	4548	65	825	1	B04
4691	4549	84	825	1	B09
4692	4550	6	826	1	F11
4693	4550	6	826	1	F12
4694	4551	61	826	1	B20
4695	4552	62	826	1	B13
4696	4553	72	826	1	E08
4697	4554	90	826	1	B03
4698	4554	90	826	2	B04
4699	4555	93	826	1	E12
4700	4556	16	827	1	B30
4701	4557	47	827	1	B03
4702	4558	48	827	1	E43
4703	4559	80	827	1	F06
4704	4560	3	828	1	E34
4705	4561	4	828	1	E29
4706	4562	69	828	1	B18
4707	4563	92	828	1	F09
4708	4564	22	829	1	B12
4709	4565	24	829	1	F12
4710	4566	35	829	1	B05
4711	4567	43	829	1	F02
4712	4568	46	829	1	F05
4713	4569	94	829	1	B24
4714	4570	10	830	1	E24
4715	4571	38	830	1	E43
4716	4572	70	830	1	B27
4717	4573	80	830	1	F03
4718	4574	42	831	1	F09
4719	4574	42	831	1	F10
4720	4575	70	831	1	B06
4721	4576	85	831	1	E08
4722	4577	14	832	1	B14
4723	4578	22	832	1	E10
4724	4579	24	832	1	B03
4725	4580	42	832	1	B27
4726	4581	68	832	1	E48
4727	4582	76	832	1	B26
4728	4583	8	833	1	F07
4729	4584	9	833	1	E47
4730	4585	14	833	1	F10
4731	4586	22	833	1	E01
4732	4587	35	833	1	B03
4733	4588	44	833	1	B24
4734	4589	65	833	1	F11
4735	4589	65	833	3	F12
4736	4590	81	833	1	B12
4737	4591	17	834	1	B18
4738	4592	32	834	1	F11
4739	4593	47	834	1	F01
4740	4594	74	834	1	F12
4741	4595	19	835	1	B26
4742	4596	48	835	1	F05
4743	4597	60	835	1	B12
4744	4598	74	835	1	E54
4745	4599	86	835	1	F06
4746	4600	88	835	1	F07
4747	4601	5	836	1	B02
4748	4602	37	836	1	F10
4749	4603	62	836	1	F03
4750	4604	18	837	1	B03
4751	4605	30	837	1	B30
4752	4606	90	837	1	F12
4753	4607	13	838	1	E06
4754	4608	49	838	1	F08
4755	4609	72	838	1	E17
4756	4610	83	838	1	F08
4757	4611	89	838	1	B23
4758	4612	40	839	1	B25
4759	4613	45	839	1	B07
4760	4614	74	839	1	E34
4761	4615	76	839	1	B01
4762	4616	28	840	1	E04
4763	4617	32	840	1	E15
4764	4618	50	840	1	F12
4765	4619	63	840	1	E01
4766	4620	68	840	1	E03
4767	4621	73	840	1	F11
4768	4622	4	841	1	E24
4769	4623	64	841	1	E20
4770	4624	70	841	1	B08
4771	4625	74	841	1	F12
4772	4626	16	842	1	B15
4773	4627	34	842	1	B10
4774	4628	37	842	1	B30
4775	4629	55	842	1	F05
4776	4630	78	842	1	E01
4777	4631	84	842	1	B15
4778	4632	12	843	1	E40
4779	4633	26	843	1	F09
4780	4634	70	843	1	B24
4781	4635	78	843	1	F04
4782	4636	85	843	1	F02
4783	4637	95	843	1	B23
4784	4638	8	844	1	B05
4785	4639	16	844	1	E20
4786	4640	21	844	1	F12
4787	4641	24	844	1	F06
4788	4642	62	844	1	E05
